filename,years_in_school,overall_gpa,num_projects,num_competitions,num_awards,years_non_tech_exp,years_tech_exp,num_leader_role,num_member_role,num_errors
s052220,0,3.91,3,2,1,0,2,2,1,0
j052201,1,3.93,3,3,2,1,1,2,2,0
j052601,0,3.38,4,3,1,0,2,4,0,0
j050702,0,3.82,4,1,0,0,5,0,0,0
v052401,1,4,2,0,6,2,0,1,3,0
j053802,0,4,2,0,1,1,1,0,3,0
v054601,0,3.37,0,0,0,3,3,0,2,0
j050601,0,3.73,2,1,0,0,2,1,0,0
j050701,0,3.56,0,0,3,1,2,0,0,0
s051903,3,3.7,3,3,2,0,3,2,1,0
j052501,2,3.4,4,3,2,0,1,1,1,0
v054501,0,3.4,2,0,0,0,6,0,0,0
j053801,3,3.86,0,0,1,2,2,0,3,0
v051501,0,3.51,7,2,3,0,3,2,1,0
