,filename,overall_gpa,num_projects,num_competitions,num_awards,years_non_tech_exp,years_tech_exp,num_leader_role,num_member_role,num_errors
0,s052220,3.91,3,2,1,0,2,2,1,0
1,v090201,0.0,0,0,0,8,0,2,3,0
2,s052922,0.0,0,0,0,0,2,3,1,0
3,j052602,0.0,3,0,0,0,0,0,4,0
4,j052201,3.93,3,3,2,1,1,2,2,0
5,j052601,3.38,4,3,1,0,2,4,0,0
6,v051101,0.0,2,0,1,4,1,0,0,0
7,v064201,0.0,2,2,0,0,2,3,0,0
8,j050702,3.82,4,1,0,0,5,0,0,0
9,v051601,0.0,0,0,4,2,0,5,3,0
10,v052401,4.0,2,0,6,2,0,1,3,0
11,v064101,0.0,0,0,0,0,3,2,1,0
12,j053802,4.0,2,0,1,1,1,0,3,0
13,v051701,0.0,7,1,0,0,2,2,3,0
14,v054601,3.37,0,0,0,3,3,0,2,0
15,s051542,0.0,2,0,0,0,1,1,0,0
16,v053201,0.0,4,2,0,1,1,4,0,0
17,v053001,3.9,0,0,2,0,2,2,0,0
18,j050601,3.73,2,1,0,0,2,1,0,0
19,j050701,3.56,0,0,3,1,2,0,0,0
20,s051903,3.7,3,3,2,0,3,2,1,0
21,j052501,3.4,4,3,2,0,1,1,1,0
22,v054501,3.4,2,0,0,0,6,0,0,0
23,j053801,3.86,0,0,1,2,2,0,3,0
24,v051501,3.51,7,2,3,0,3,2,1,0
